Product Name,ProductId,UserId,Rating,Description,category
Google Nest Hub Max,20002,User11,4,"Good smart home device, but not as versatile as other options",electronics
DJI Mavic Air 2 Drone,30002,User12,4.8,"Amazing camera and flight stability, great for aerial photography",electronics
Apple iPad Pro,40002,User13,4.2,"Great tablet, fast and powerful",electronics
Samsung Q80T Series 55-Inch TV,50002,User14,4.4,"Good picture quality, but the smart features could be improved",electronics
Razer Blade 15,60002,User15,4.5,"Great gaming laptop, fast and smooth gameplay",electronics
Sonos Move,70002,User16,4.3,"Good sound quality, but a bit heavy for a portable speaker",electronics
Skinny Jeans,1001,User1,4.5,"Love the fit and stretch of these jeans, they're my go-to pair",cloth
Leather Jacket,2001,User2,3.2,"Looks great, but the leather is a bit stiff",cloth
High Heels,3001,User3,2.1,"These shoes are beautiful, but so uncomfortable to wear",cloth
T-Shirt,4001,User4,4.9,"Soft and comfortable, great for everyday wear",cloth
Sunglasses,5001,User5,3.8,"Stylish and good quality, but a bit too small for my face",cloth
Sneakers,6001,User6,4,"Love the comfort and style of these shoes, great for running",cloth
Cocktail Dress,7001,User7,3.7,"Beautiful dress, but a bit too tight in the chest area",cloth
Hoodie,8001,User8,4.5,"Soft and warm, perfect for colder weather",cloth
Backpack,9001,User9,2.8,"Looks good, but the straps are uncomfortable",cloth
Ankle Boots,10002,User10,4.7,"Love the look and comfort of these boots, great for dressing up or down",cloth
Blouse,20002,User11,3.9,"Pretty top, but the fabric is a bit scratchy",cloth
Sandals,30002,User12,4.8,"Cute and comfortable, perfect for summer",cloth
Leather Bag,40002,User13,2.5,"Looks great, but the strap is too short for my liking",cloth
Sweater,50002,User14,4.3,"Love the softness and warmth of this sweater, great for layering",cloth
Watch,60002,User15,3.6,"Stylish watch, but the band is a bit stiff",cloth
Skirt,70002,User16,4.1,"Flattering and comfortable, great for work or special occasions",cloth
Belt,80002,User17,4.6,"Nice quality belt, fits well and looks good with a variety of outfits",cloth
Scarf,90002,User18,3.2,"Soft and warm, but a bit shorter than I expected",cloth
Running Shoes,100003,User19,3.9,"Great for running, but a bit tight around the toe area",cloth
Cardigan,200003,User20,4.4,"Love the comfort and versatility of this cardigan, can be dressed up or down",cloth
Earrings,300003,User21,4.2,"Pretty earrings, but a bit heavy for my liking",cloth
Backpack Purse,400003,User22,4.5,"Love the convenience and style of this purse, great for everyday use",cloth
Coat,500003,User2,3.7,"Good quality coat, but a bit bulky",cloth
Jumpsuit,600003,User24,3.8,"Love the style of this jumpsuit, but the fabric is a bit scratchy",cloth
Running Shorts,700003,User25,4.2,"Comfortable and great for running, love the pockets",cloth
Aspirin,1001,User1,4.5,"Pain reliever and fever reducer, contains 325 mg of aspirin per tablet",medicine
Ibuprofen,2001,User2,3.2,"Pain reliever and fever reducer, contains 200 mg of ibuprofen per tablet",medicine
Acetaminophen,3001,User3,2.1,"Pain reliever and fever reducer, contains 500 mg of acetaminophen per tablet",medicine
Vitamin C,4001,User4,4.9,"Immune system support, contains 1000 mg of vitamin C per tablet",medicine
Vitamin D,5001,User5,3.8,"Bone health support, contains 2000 IU of vitamin D3 per tablet",medicine
Calcium,6001,User67,4,"Bone health support, contains 500 mg of calcium carbonate per tablet",medicine
Magnesium,7001,User7,3.7,"Nerve and muscle function support, contains 250 mg of magnesium per tablet",medicine
Zinc,8001,User8,4.5,"Immune system support, contains 50 mg of zinc per tablet",medicine
Probiotic,9001,User9,2.8,"Digestive health support, contains 10 billion CFUs of probiotic bacteria per capsule",medicine
Melatonin,10002,User10,4.7,"Sleep aid, contains 5 mg of melatonin per tablet",medicine
Omega-3,20002,User11,3.9,"Heart health support, contains 1000 mg of omega-3 fatty acids per softgel",medicine
Multivitamin,30002,User12,4.8,"Overall health support, contains a variety of vitamins and minerals per tablet",medicine
Coenzyme Q10,40002,User13,2.5,"Heart health support, contains 100 mg of CoQ10 per softgel",medicine
Cranberry,50002,User14,4.3,"Urinary tract health support, contains 500 mg of cranberry extract per capsule",medicine
Fish Oil,60002,User15,3.6,"Heart and brain health support, contains 1000 mg of fish oil per softgel",medicine
Iron,70002,User16,4.1,"Blood health support, contains 18 mg of iron per tablet",medicine
Biotin,80002,User17,4.6,"Hair, skin, and nail health support, contains 5000 mcg of biotin per tablet",medicine
Echinacea,90002,User18,3.2,"Immune system support, contains 400 mg of echinacea per capsule",medicine
Ginkgo Biloba,100003,User19,3.9,"Brain health support, contains 120 mg of ginkgo biloba extract per capsule",medicine
St. John's Wort,200003,User20,4.4,"Mood support, contains 300 mg of St. John's Wort extract per capsule",medicine
Turmeric,300003,User21,4.2,"Joint and immune system support, contains 500 mg of turmeric extract per capsule",medicine
Sophie the Giraffe,1001,User1,4.5,Teething toy made of natural rubber and food-grade paint,Baby Toys
Fisher-Price Rattle 'n Rock Maracas,2001,User20,3.2,Colorful rattle toys that make noise when shaken,Baby Toys
Lamaze Freddie the Firefly,3001,User3,4.1,"Soft toy with bright colors and crinkly wings, features a teether and clip for easy attachment",Baby Toys
Skip Hop Explore and More Baby's View 3-Stage Activity Center,4001,User4,4.7,Activity center with a rotating seat and toys for babies to explore and play with,Baby Toys
VTech Sit-to-Stand Learning Walker,5001,User5,3.8,"Interactive learning walker with a removable play panel, can be used as a floor toy or walker",Baby Toys
Manhattan Toy Winkel Rattle and Sensory Teether Toy,6001,User6,4,"Colorful teething toy with loops and rattle beads, made of BPA-free and PVC-free materials",Baby Toys
Baby Einstein Take Along Tunes Musical Toy,7001,User7,4.3,"Portable musical toy with colorful lights and classical music, easy for babies to grasp and carry",Baby Toys
Sassy Developmental Bumpy Ball,8001,User8,4.5,"Soft ball with multiple textures and bright colors, helps with sensory development and hand-eye coordination",Baby Toys
TUMAMA Baby Blocks,9001,User9,4.8,"Set of soft blocks with different textures and shapes, promotes sensory and cognitive development",Baby Toys
Bright Starts Clack and Slide Activity Ball,10002,User10,3.9,"Colorful ball with a variety of textures and activities, including a clacking frog and spinning paddle",Baby Toys
Hape Pound & Tap Bench with Slide Out Xylophone,20002,User11,4.6,"Wooden toy with a pounding bench and xylophone, helps with fine motor skills and musical development",Baby Toys
Fat Brain Toys Dimpl Digits Baby Toy,30002,User12,4.2,"Silicone sensory toy with numbered bubbles to push and pop, promotes tactile and visual learning",Baby Toys
The First Years Stack Up Cups,40002,User13,4.4,"Set of colorful stacking cups that can be nested or stacked, helps with hand-eye coordination and spatial awareness",Baby Toys
B. Toys One Two Squeeze Baby Blocks,50002,User14,3.5,"Set of soft blocks with animal designs and numbers, promotes sensory and cognitive development",Baby Toys
Manhattan Toy Skwish Classic Rattle and Teether Grasping Activity Toy,60002,User15,4.1,"Wooden toy with stretchy elastic and beads, can be grasped and twisted to promote fine motor skills and sensory development",Baby Toys
Melissa & Doug Shape Sorting Cube Classic Wooden Toy,70002,User16,4.7,"Wooden cube with different shaped holes and blocks to sort, promotes problem-solving and spatial awareness",Baby Toys
MacBook Pro,1001,10001,4.5,"The MacBook Pro is a high-performance laptop with a Retina display, powerful processors, and long battery life. Great for work or play.",Electronics
Samsung Galaxy S21 Ultra,1002,10002,4.8,"The Samsung Galaxy S21 Ultra is a top-of-the-line smartphone with a large, high-resolution display, advanced camera system, and 5G connectivity. Perfect for mobile enthusiasts.",Electronics
Bose QuietComfort 35 II,1003,10003,4.6,"The Bose QuietComfort 35 II headphones are wireless, noise-cancelling headphones with a comfortable fit and great sound quality. Perfect for listening on-the-go or at home.",Electronics
Sony PlayStation 5,1004,10004,4.9,"The Sony PlayStation 5 is the latest and greatest gaming console with lightning-fast load times, high-fidelity graphics, and immersive gameplay. Great for gamers of all levels.",Electronics
LG OLED TV,1005,10005,4.7,"The LG OLED TV is a top-rated television with a stunning picture quality, powerful audio, and smart features. Perfect for movie nights, sports events, or gaming sessions.",Electronics
Logitech MX Master 3,1006,10006,4.4,"The Logitech MX Master 3 is an advanced wireless mouse with a customizable design, advanced tracking technology, and long battery life. Great for productivity and creative tasks.",Electronics
Nest Learning Thermostat,1007,10007,4.2,The Nest Learning Thermostat is a smart thermostat that learns your habits and preferences to automatically adjust your home's temperature. Perfect for saving energy and money.,Electronics
Fitbit Charge 5,1008,10008,4.3,"The Fitbit Charge 5 is a fitness tracker with a sleek design, advanced health tracking features, and long battery life. Perfect for tracking workouts and staying active.",Electronics
Apple AirPods Pro,1009,10009,4.7,"The Apple AirPods Pro are wireless earbuds with noise-cancellation, a comfortable fit, and great sound quality. Perfect for music lovers and podcast enthusiasts.",Electronics
DJI Mavic Air 2,1010,10010,4.5,"The DJI Mavic Air 2 is a high-performance drone with 4K video, advanced obstacle avoidance, and a long flight time. Great for aerial photography and videography.",Electronics
Samsung QLED TV,1011,10011,4.6,"The Samsung QLED TV is a top-rated television with a QLED display, powerful audio, and smart features. Perfect for movie nights, sports events, or gaming sessions.",Electronics
Dell XPS 13,1013,10013,4.7,"The Dell XPS 13 is a premium laptop with a stunning display, powerful performance, and long battery life. Perfect for professionals and students.",Electronics
GoPro HERO10 Black,1014,10014,4.9,"The GoPro HERO10 Black is a high-performance action camera with 5.3K video, HyperSmooth 4.0, and a waterproof design. Great for capturing epic adventures.",Electronics
Amazon Echo (4th Gen),1015,10015,4.5,"The Amazon Echo (4th Gen) is a smart speaker with Alexa, premium sound, and a sleek design. Perfect for controlling your smart home and playing music.",Electronics
Microsoft Surface Laptop 4,1016,10016,4.6,"The Microsoft Surface Laptop 4 is a stylish and powerful laptop with a touch screen, long battery life, and advanced security features. Perfect for work or personal use.",Electronics
Sony WH-1000XM4,1017,10017,4.8,"The Sony WH-1000XM4 are noise-cancelling headphones with advanced features like adaptive sound control, touch controls, and long battery life. Perfect for commuting or travel.",Electronics
Nintendo Switch OLED Model,1018,10018,4.7,"The Nintendo Switch OLED Model is the latest and greatest gaming console with a vibrant OLED screen, enhanced audio, and up to 9 hours of battery life. Great for gaming on-the-go.",Electronics
Sonos Beam,1019,10019,4.4,"The Sonos Beam is a smart soundbar with Alexa, Google Assistant, and Apple AirPlay 2 built-in, as well as rich, immersive sound. Perfect for enhancing your home entertainment experience.",Electronics
Sony Alpha a7 III,1020,10020,4.9,"The Sony Alpha a7 III is a high-end mirrorless camera with advanced autofocus, high-resolution image sensor, and 4K video capabilities. Great for professional photographers and videographers.",Electronics
HP Spectre x360,1021,10021,4.6,"The HP Spectre x360 is a sleek and powerful laptop with a convertible design, long battery life, and stunning display. Perfect for work or play.",Electronics
Bose SoundLink Revolve+,1022,10022,4.5,"The Bose SoundLink Revolve+ is a portable Bluetooth speaker with 360-degree sound, long battery life, and water-resistant design. Great for outdoor adventures and social gatherings.",Electronics
Samsung Galaxy Watch 4,1023,10023,4.3,"The Samsung Galaxy Watch 4 is a stylish and advanced smartwatch with fitness tracking, health monitoring, and long battery life. Perfect for staying connected and active.",Electronics
Apple iPhone 13 Pro Max,1025,10025,4.9,"The Apple iPhone 13 Pro Max is the latest and greatest iPhone with a stunning camera, powerful performance, and long battery life. Perfect for photographers and power users.",Electronics
Dell Alienware m15 R4,1026,10026,4.7,"The Dell Alienware m15 R4 is a high-end gaming laptop with advanced graphics, stunning display, and fast performance. Great for serious gamers and game developers.",Electronics
Fitbit Charge 5,1027,10027,4.4,"The Fitbit Charge 5 is a premium fitness tracker with advanced features like ECG, stress tracking, and long battery life. Perfect for staying active and healthy.",Electronics
Sony PlayStation 5,1028,10028,4.8,"The Sony PlayStation 5 is the latest and greatest gaming console with stunning graphics, fast performance, and a sleek design. Great for gamers of all ages.",Electronics
Lenovo ThinkPad X1 Carbon,1029,10029,4.6,"The Lenovo ThinkPad X1 Carbon is a high-end business laptop with a lightweight design, long battery life, and advanced security features. Perfect for professionals on-the-go.",Electronics
JBL Flip 5,1030,10030,4.5,"The JBL Flip 5 is a portable Bluetooth speaker with a waterproof design, long battery life, and powerful sound. Perfect for outdoor adventures and social gatherings.",Electronics
Canon EOS R6,1031,10031,4.9,"The Canon EOS R6 is a high-end mirrorless camera with advanced autofocus, high-resolution image sensor, and 4K video capabilities. Great for professional photographers and videographers.",Electronics
Samsung Galaxy S21 Ultra,1032,10032,4.7,"The Samsung Galaxy S21 Ultra is a premium smartphone with a stunning camera, powerful performance, and long battery life. Perfect for photographers and power users.",Electronics
Bose QuietComfort Earbuds,1033,10033,4.8,"The Bose QuietComfort Earbuds are wireless noise-cancelling earbuds with advanced features like ANC, touch controls, and long battery life. Perfect for commuting or travel.",Electronics
ASUS ROG Zephyrus G14,1034,10034,4.6,"The ASUS ROG Zephyrus G14 is a high-end gaming laptop with advanced graphics, stunning display, and fast performance. Great for serious gamers and game developers.",Electronics
LG 27GN950-B,1035,10035,4.7,"The LG 27GN950-B is a high-end gaming monitor with advanced features like 4K resolution, fast refresh rate, and G-Sync compatibility. Perfect for serious gamers and game developers.",Electronics
Apple AirPods Pro,1037,10037,4.5,"The Apple AirPods Pro are wireless earbuds with advanced features like active noise cancellation, transparency mode, and long battery life. Great for music lovers and commuters.",Electronics
Acer Predator Helios 300,1038,10038,4.6,"The Acer Predator Helios 300 is a high-end gaming laptop with advanced graphics, fast performance, and a sleek design. Great for serious gamers and game developers.",Electronics
Nikon Z6 II,1039,10039,4.8,"The Nikon Z6 II is a high-end mirrorless camera with advanced autofocus, high-resolution image sensor, and 4K video capabilities. Perfect for professional photographers and videographers.",Electronics
Samsung Galaxy Watch 4,1040,10040,4.7,"The Samsung Galaxy Watch 4 is a premium smartwatch with advanced features like ECG, SpO2, and long battery life. Perfect for staying active and connected.",Electronics
Razer Blade 15,1041,10041,4.7,"The Razer Blade 15 is a high-end gaming laptop with advanced graphics, fast performance, and a sleek design. Great for serious gamers and game developers.",Electronics
Sony WH-1000XM4,1042,10042,4.6,"The Sony WH-1000XM4 are wireless noise-cancelling headphones with advanced features like ANC, touch controls, and long battery life. Perfect for commuting or travel.",Electronics
LG OLED65CXPUA,1043,10043,4.8,"The LG OLED65CXPUA is a high-end OLED TV with advanced features like 4K resolution, HDR, and Dolby Atmos. Perfect for movie and TV lovers.",Electronics
Microsoft Surface Pro 7,1044,10044,4.5,"The Microsoft Surface Pro 7 is a high-end 2-in-1 laptop with a lightweight design, long battery life, and advanced features. Perfect for professionals on-the-go.",Electronics
Sony Alpha 7 III,1045,10045,4.9,"The Sony Alpha 7 III is a high-end mirrorless camera with advanced autofocus, high-resolution image sensor, and 4K video capabilities. Perfect for professional photographers and videographers.",Electronics
Jabra Elite 85t,1046,10046,4.5,"The Jabra Elite 85t are wireless earbuds with advanced features like ANC, touch controls, and long battery life. Perfect for music lovers and commuters.",Electronics
ASUS TUF Gaming A15,1047,10047,4.6,"The ASUS TUF Gaming A15 is a high-end gaming laptop with advanced graphics, fast performance, and a durable design. Great for serious gamers and game developers.",Electronics
Bose SoundLink Revolve+,1049,10049,4.7,"The Bose SoundLink Revolve+ is a high-end Bluetooth speaker with advanced features like 360-degree sound, long battery life, and water-resistant design. Perfect for outdoor adventures.",Electronics
HP Spectre x360,1050,10050,4.6,"The HP Spectre x360 is a high-end 2-in-1 laptop with a slim design, long battery life, and advanced features. Perfect for professionals on-the-go.",Electronics
DJI Mavic 2 Pro,1051,10051,4.8,"The DJI Mavic 2 Pro is a high-end drone with advanced features like 4K video, 3-axis gimbal, and long battery life. Perfect for aerial photographers and videographers.",Electronics
Samsung Galaxy Tab S7+,1052,10052,4.7,"The Samsung Galaxy Tab S7+ is a high-end tablet with advanced features like a 120Hz refresh rate, S Pen support, and long battery life. Perfect for productivity and entertainment.",Electronics
LG 27UK850-W,1053,10053,4.8,"The LG 27UK850-W is a high-end monitor with advanced features like 4K resolution, HDR, and USB-C connectivity. Perfect for content creators and professionals.",Electronics
GoPro HERO9 Black,1054,10054,4.6,"The GoPro HERO9 Black is a high-end action camera with advanced features like 5K video, HyperSmooth 3.0, and long battery life. Perfect for capturing outdoor adventures.",Electronics
Bose QuietComfort 35 II,1055,10055,4.6,"The Bose QuietComfort 35 II are wireless noise-cancelling headphones with advanced features like ANC, touch controls, and long battery life. Perfect for commuting or travel.",Electronics
ASUS ROG Strix G15,1056,10056,4.7,"The ASUS ROG Strix G15 is a high-end gaming laptop with advanced graphics, fast performance, and a stylish design. Great for serious gamers and game developers.",Electronics
Sonos One,1057,10057,4.5,"The Sonos One is a high-end smart speaker with advanced features like voice control, multi-room audio, and long-range connectivity. Perfect for music lovers and smart home enthusiasts.",Electronics
Dell XPS 13,1058,10058,4.8,"The Dell XPS 13 is a high-end laptop with a slim design, long battery life, and advanced features. Perfect for professionals on-the-go.",Electronics
Apple iPad Air,1059,10059,4.7,"The Apple iPad Air is a high-end tablet with advanced features like a 10.9-inch Liquid Retina display, Apple Pencil support, and A14 Bionic chip. Perfect for productivity and entertainment.",Electronics
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Zantac,2006,102006,4.4,"Zantac is an antacid medication that provides relief from heartburn, acid reflux, and other digestive issues.",Medicine
Robitussin DM,2007,102007,4.5,"Robitussin DM is a cough suppressant and expectorant that provides relief from coughs due to colds, flu, or bronchitis.",Medicine
Mucinex DM,2008,102008,4.6,"Mucinex DM is an expectorant and cough suppressant that provides relief from coughs due to colds, flu, or bronchitis.",Medicine
Advil PM,2009,102009,4.6,Advil PM is a pain reliever and sleep aid that provides relief from pain and helps you fall asleep faster.,Medicine
Excedrin Migraine,2010,102010,4.6,Excedrin Migraine is a pain reliever that provides relief from migraines and other types of headaches.,Medicine
NyQuil,2011,102011,4.5,"NyQuil is a nighttime cold and flu relief medication that provides relief from symptoms such as cough, congestion, and sore throat.",Medicine
DayQuil,2012,102012,4.5,"DayQuil is a daytime cold and flu relief medication that provides relief from symptoms such as cough, congestion, and sore throat.",Medicine
Aleve,2014,102014,4.6,"Aleve is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Tums,2015,102015,4.5,"Tums is an antacid medication that provides relief from heartburn, indigestion, upset stomach, and other digestive issues.",Medicine
Motrin,2016,102016,4.5,"Motrin is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Imodium,2017,102017,4.4,Imodium is an anti-diarrheal medication that provides relief from diarrhea and other digestive issues.,Medicine
Pepto-Bismol Chewables,2018,102018,4.5,"Pepto-Bismol Chewables are an antacid and anti-diarrheal medication that provides relief from heartburn, indigestion, upset stomach, and diarrhea.",Medicine
Preparation H,2019,102019,4.5,Preparation H is a medication used to relieve symptoms associated with hemorrhoids.,Medicine
Dulcolax,2020,102020,4.5,Dulcolax is a laxative that provides relief from constipation and other digestive issues.,Medicine
Kaopectate,2021,102021,4.4,Kaopectate is an anti-diarrheal medication that provides relief from diarrhea and other digestive issues.,Medicine
Gas-X,2022,102022,4.5,Gas-X is an anti-gas medication that provides relief from gas and bloating.,Medicine
Alka-Seltzer,2023,102023,4.4,"Alka-Seltzer is an antacid and pain reliever that provides relief from heartburn, indigestion, upset stomach, headaches, and other types of pain.",Medicine
Midol,2024,102024,4.5,Midol is a medication used to relieve symptoms associated with menstrual cramps.,Medicine
Zyrtec,2025,102025,4.7,"Zyrtec is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Sudafed PE,2026,102026,4.5,"Sudafed PE is a nasal decongestant that provides relief from nasal congestion due to colds, flu, or allergies.",Medicine
Flonase,2027,102027,4.6,"Flonase is a nasal spray that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Tylenol Extra Strength,2028,102028,4.6,"Tylenol Extra Strength is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Mucinex DM,2029,102029,4.5,"Mucinex DM is an expectorant and cough suppressant that provides relief from cough due to colds, flu, or allergies.",Medicine
Benadryl,2030,102030,4.7,"Benadryl is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Robitussin,2031,102031,4.5,"Robitussin is a cough syrup that provides relief from cough due to colds, flu, or allergies.",Medicine
Advil,2032,102032,4.6,"Advil is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Dramamine,2033,102033,4.5,Dramamine is an antiemetic medication that provides relief from motion sickness and nausea.,Medicine
Alavert,2034,102034,4.5,"Alavert is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Excedrin Migraine,2035,102035,4.6,Excedrin Migraine is a pain reliever that provides relief from migraine headaches.,Medicine
Aleve PM,2036,102036,4.5,Aleve PM is a pain reliever and sleep aid that provides relief from pain and helps you fall asleep.,Medicine
Theraflu,2037,102037,4.5,"Theraflu is a cold and flu medication that provides relief from cough, congestion, fever, and other symptoms associated with colds and flu.",Medicine
Visine,2038,102038,4.5,"Visine is an eye drop that provides relief from redness, dryness, and irritation of the eyes.",Medicine
Orajel,2039,102039,4.4,Orajel is a topical pain reliever that provides relief from toothache and other types of oral pain.,Medicine
Zantac,2040,102040,4.5,"Zantac is an antacid medication that provides relief from heartburn, indigestion, and other digestive issues.",Medicine
Nexium,2042,102042,4.5,"Nexium is a proton pump inhibitor that provides relief from heartburn, acid reflux, and other digestive issues.",Medicine
Pepcid AC,2043,102043,4.5,"Pepcid AC is an antacid medication that provides relief from heartburn, acid reflux, and other digestive issues.",Medicine
Imodium,2044,102044,4.5,Imodium is an anti-diarrheal medication that provides relief from diarrhea and other symptoms associated with digestive issues.,Medicine
Tylenol Cold + Flu,2045,102045,4.5,"Tylenol Cold + Flu is a cold and flu medication that provides relief from cough, congestion, fever, and other symptoms associated with colds and flu.",Medicine
Sudafed PE,2046,102046,4.5,"Sudafed PE is a decongestant that provides relief from nasal congestion, sinus pressure, and other symptoms associated with colds and allergies.",Medicine
Zyrtec,2047,102047,4.6,"Zyrtec is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Tums,2048,102048,4.5,"Tums is an antacid medication that provides relief from heartburn, indigestion, and other digestive issues.",Medicine
Motrin,2049,102049,4.6,"Motrin is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Nyquil,2050,102050,4.5,"Nyquil is a cold and flu medication that provides relief from cough, congestion, fever, and other symptoms associated with colds and flu.",Medicine
Allegra,2051,102051,4.6,"Allegra is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Pepto-Bismol,2052,102052,4.5,"Pepto-Bismol is an antacid medication that provides relief from heartburn, indigestion, and other digestive issues.",Medicine
Robaxin,2053,102053,4.5,Robaxin is a muscle relaxant that provides relief from muscle pain and stiffness caused by injuries or other conditions.,Medicine
Dulcolax,2054,102054,4.5,Dulcolax is a laxative medication that provides relief from constipation and other symptoms associated with digestive issues.,Medicine
Advil,2056,102056,4.6,"Advil is a pain reliever that provides relief from headaches, muscle aches, toothaches, menstrual cramps, and other types of pain.",Medicine
Flonase,2057,102057,4.5,"Flonase is a nasal spray that provides relief from allergy symptoms such as sneezing, runny nose, and congestion.",Medicine
Benadryl,2058,102058,4.5,"Benadryl is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Mucinex,2059,102059,4.5,"Mucinex is an expectorant that provides relief from cough and congestion caused by colds, flu, and other respiratory illnesses.",Medicine
Sudafed,2060,102060,4.5,"Sudafed is a decongestant that provides relief from nasal congestion, sinus pressure, and other symptoms associated with colds and allergies.",Medicine
Zantac,2061,102061,4.5,"Zantac is an antacid medication that provides relief from heartburn, acid reflux, and other digestive issues.",Medicine
Prilosec,2062,102062,4.5,"Prilosec is a proton pump inhibitor that provides relief from heartburn, acid reflux, and other digestive issues.",Medicine
Claritin,2063,102063,4.6,"Claritin is an antihistamine that provides relief from allergy symptoms such as sneezing, runny nose, and itchy, watery eyes.",Medicine
Excedrin,2064,102064,4.5,"Excedrin is a pain reliever that provides relief from headaches, migraines, and other types of pain.",Medicine
Aleve,2065,102065,4.6,"Aleve is a pain reliever that provides relief from headaches, muscle aches, menstrual cramps, and other types of pain.",Medicine
Robitussin,2066,102066,4.5,"Robitussin is a cough suppressant that provides relief from cough and other symptoms associated with colds, flu, and other respiratory illnesses.",Medicine
Gas-X,2067,102067,4.5,Gas-X is an antacid medication that provides relief from gas and other symptoms associated with digestive issues.,Medicine
Icy Hot,2068,102068,4.5,"Icy Hot is a topical analgesic that provides relief from muscle and joint pain caused by injuries, arthritis, and other conditions.",Medicine
